codigo_tse,uf,nome_municipio,capital,codigo_ibge
27570,AL,GIRAU DO PONCIANO,0,2702900
27596,AL,IBATEGUARA,0,2703007
27618,AL,IGACI,0,2703106
27634,AL,IGREJA NOVA,0,2703205
27650,AL,INHAPI,0,2703304
27677,AL,JACARÉ DOS HOMENS,0,2703403
27693,AL,JACUÍPE,0,2703502
27715,AL,JAPARATINGA,0,2703601
27731,AL,JARAMATAIA,0,2703700
27065,AL,JEQUIÁ DA PRAIA,0,2703759
27758,AL,JOAQUIM GOMES,0,2703809
27774,AL,JUNDIÁ,0,2703908
27790,AL,JUNQUEIRO,0,2704005
27812,AL,LAGOA DA CANOA,0,2704104
27839,AL,LIMOEIRO DE ANADIA,0,2704203
27855,AL,MACEIÓ,1,2704302
27871,AL,MAJOR ISIDORO,0,2704401
27979,AL,MAR VERMELHO,0,2704906
27898,AL,MARAGOGI,0,2704500
27910,AL,MARAVILHA,0,2704609
27936,AL,MARECHAL DEODORO,0,2704708
27952,AL,MARIBONDO,0,2704807
27995,AL,MATA GRANDE,0,2705002
28010,AL,MATRIZ DE CAMARAGIBE,0,2705101
28037,AL,MESSIAS,0,2705200
28053,AL,MINADOR DO NEGRÃO,0,2705309
28070,AL,MONTEIRÓPOLIS,0,2705408
28096,AL,MURICI,0,2705507
28118,AL,NOVO LINO,0,2705606
28134,AL,OLHO D'ÁGUA DAS FLORES,0,2705705
28150,AL,OLHO D'ÁGUA DO CASADO,0,2705804
28177,AL,OLHO D'ÁGUA GRANDE,0,2705903
28193,AL,OLIVENÇA,0,2706000
28215,AL,OURO BRANCO,0,2706109
28231,AL,PALESTINA,0,2706208
28258,AL,PALMEIRA DOS ÍNDIOS,0,2706307
27022,AL,PARICONHA,0,2706422
27006,AL,PARIPUEIRA,0,2706448
28290,AL,PASSO DE CAMARAGIBE,0,2706505
28312,AL,PAULO JACINTO,0,2706604
28339,AL,PENEDO,0,2706703
28355,AL,PIAÇABUÇU,0,2706802
28371,AL,PILAR,0,2706901
28398,AL,PINDOBA,0,2707008
28410,AL,PIRANHAS,0,2707107
28452,AL,PORTO CALVO,0,2707305
28479,AL,PORTO DE PEDRAS,0,2707404
28495,AL,PORTO REAL DO COLÉGIO,0,2707503
28436,AL,POÇO DAS TRINCHEIRAS,0,2707206
28274,AL,PÃO DE AÇÚCAR,0,2706406
28517,AL,QUEBRANGULO,0,2707602
28533,AL,RIO LARGO,0,2707701
28550,AL,ROTEIRO,0,2707800
28576,AL,SANTA LUZIA DO NORTE,0,2707909
28592,AL,SANTANA DO IPANEMA,0,2708006
28614,AL,SANTANA DO MUNDAÚ,0,2708105
28770,AL,SATUBA,0,2708907
28916,AL,SENADOR RUI PALMEIRA,0,2708956
28630,AL,SÃO BRÁS,0,2708204
28657,AL,SÃO JOSÉ DA LAJE,0,2708303
28673,AL,SÃO JOSÉ DA TAPERA,0,2708402
28690,AL,SÃO LUÍS DO QUITUNDE,0,2708501
28711,AL,SÃO MIGUEL DOS CAMPOS,0,2708600
28738,AL,SÃO MIGUEL DOS MILAGRES,0,2708709
28754,AL,SÃO SEBASTIÃO,0,2708808
28797,AL,TANQUE D'ARCA,0,2709004
28819,AL,TAQUARANA,0,2709103
28932,AL,TEOTÔNIO VILELA,0,2709152
28835,AL,TRAIPU,0,2709202
28851,AL,UNIÃO DOS PALMARES,0,2709301
28878,AL,VIÇOSA,0,2709400
27014,AL,ÁGUA BRANCA,0,2700102
2895,AM,ALVARÃES,0,1300029
2917,AM,AMATURÁ,0,1300060
2933,AM,ANAMÃ,0,1300086
2038,AM,ANORI,0,1300102
2003,AM,APUÍ,0,1300144
2054,AM,ATALAIA DO NORTE,0,1300201
2070,AM,AUTAZES,0,1300300
2097,AM,BARCELOS,0,1300409
2119,AM,BARREIRINHA,0,1300508
2135,AM,BENJAMIN CONSTANT,0,1300607
2950,AM,BERURI,0,1300631
2976,AM,BOA VISTA DO RAMOS,0,1300680
2151,AM,BOCA DO ACRE,0,1300706
2178,AM,BORBA,0,1300805
2992,AM,CAAPIRANGA,0,1300839
2194,AM,CANUTAMA,0,1300904
2216,AM,CARAUARI,0,1301001
2232,AM,CAREIRO,0,1301100
2046,AM,CAREIRO DA VÁRZEA,0,1301159
2259,AM,COARI,0,1301209
2275,AM,CODAJÁS,0,1301308
2291,AM,EIRUNEPÉ,0,1301407
2313,AM,ENVIRA,0,1301506
2330,AM,FONTE BOA,0,1301605
2020,AM,GUAJARÁ,0,1301654
2356,AM,HUMAITÁ,0,1301704
2399,AM,IPIXUNA,0,1301803
98353,AM,IRANDUBA,0,1301852
2410,AM,ITACOATIARA,0,1301902
98370,AM,ITAMARATI,0,1301951
2437,AM,ITAPIRANGA,0,1302009
2453,AM,JAPURÁ,0,1302108
2470,AM,JURUÁ,0,1302207
2496,AM,JUTAÍ,0,1302306
2518,AM,LÁBREA,0,1302405
2534,AM,MANACAPURU,0,1302504
98396,AM,MANAQUIRI,0,1302553
2550,AM,MANAUS,1,1302603
2577,AM,MANICORÉ,0,1302702
2593,AM,MARAÃ,0,1302801
2615,AM,MAUÉS,0,1302900
2631,AM,NHAMUNDÁ,0,1303007
2658,AM,NOVA OLINDA DO NORTE,0,1303106
2011,AM,NOVO AIRÃO,0,1303205
2674,AM,NOVO ARIPUANÃ,0,1303304
2690,AM,PARINTINS,0,1303403
2712,AM,PAUINI,0,1303502
98418,AM,PRESIDENTE FIGUEIREDO,0,1303536
98434,AM,RIO PRETO DA EVA,0,1303569
2372,AM,SANTA ISABEL DO RIO NEGRO,0,1303601
2739,AM,SANTO ANTÔNIO DO IÇÁ,0,1303700
2771,AM,SILVES,0,1304005
2836,AM,SÃO GABRIEL DA CACHOEIRA,0,1303809
2755,AM,SÃO PAULO DE OLIVENÇA,0,1303908
98450,AM,SÃO SEBASTIÃO DO UATUMÃ,0,1303957
98477,AM,TABATINGA,0,1304062
2798,AM,TAPAUÁ,0,1304104
2810,AM,TEFÉ,0,1304203
98515,AM,TONANTINS,0,1304237
98493,AM,UARINI,0,1304260
2852,AM,URUCARÁ,0,1304302
2879,AM,URUCURITUBA,0,1304401
6017,AP,AMAPÁ,0,1600105
6033,AP,CALÇOENE,0,1600204
6068,AP,CUTIAS,0,1600212
6114,AP,FERREIRA GOMES,0,1600238
6041,AP,ITAUBAL,0,1600253
6130,AP,LARANJAL DO JARI,0,1600279
6050,AP,MACAPÁ,1,1600303
6076,AP,MAZAGÃO,0,1600402
6092,AP,OIAPOQUE,0,1600501
6025,AP,PORTO GRANDE,0,1600535
6009,AP,PRACUÚBA,0,1600550
6157,AP,SANTANA,0,1600600
6106,AP,SERRA DO NAVIO,0,1600055
6173,AP,TARTARUGALZINHO,0,1600709
6122,AP,VITÓRIA DO JARI,0,1600808
6084,AP,ÁGUA BRANCA DO AMAPARI,0,1600154
33030,BA,ABARÉ,0,2900207
33014,BA,ABAÍRA,0,2900108
33057,BA,ACAJUTIBA,0,2900306
33065,BA,ADUSTINA,0,2900355
33111,BA,AIQUARA,0,2900603
33138,BA,ALAGOINHAS,0,2900702
33154,BA,ALCOBAÇA,0,2900801
33170,BA,ALMADINA,0,2900900
33197,BA,AMARGOSA,0,2901007
33219,BA,AMÉLIA RODRIGUES,0,2901106
30716,BA,AMÉRICA DOURADA,0,2901155
33235,BA,ANAGÉ,0,2901205
33251,BA,ANDARAÍ,0,2901304
33260,BA,ANDORINHA,0,2901353
33278,BA,ANGICAL,0,2901403
33294,BA,ANGUERA,0,2901502
33316,BA,ANTAS,0,2901601
33332,BA,ANTÔNIO CARDOSO,0,2901700
33359,BA,ANTÔNIO GONÇALVES,0,2901809
33375,BA,APORÁ,0,2901908
33405,BA,APUAREMA,0,2901957
33391,BA,ARACATU,0,2902005
33413,BA,ARACI,0,2902104
33430,BA,ARAMARI,0,2902203
30732,BA,ARATACA,0,2902252
33456,BA,ARATUÍPE,0,2902302
33383,BA,ARAÇÁS,0,2902054
33472,BA,AURELINO LEAL,0,2902401
33499,BA,BAIANÓPOLIS,0,2902500
33510,BA,BAIXA GRANDE,0,2902609
33529,BA,BANZAÊ,0,2902658
33537,BA,BARRA,0,2902708
33553,BA,BARRA DA ESTIVA,0,2902807
33570,BA,BARRA DO CHOÇA,0,2902906
33596,BA,BARRA DO MENDES,0,2903003
33618,BA,BARRA DO ROCHA,0,2903102
33634,BA,BARREIRAS,0,2903201
30759,BA,BARRO ALTO,0,2903235
33650,BA,BARRO PRETO,0,2903300
30775,BA,BARROCAS,0,2903276
33677,BA,BELMONTE,0,2903409
33693,BA,BELO CAMPO,0,2903508
33715,BA,BIRITINGA,0,2903607
33731,BA,BOA NOVA,0,2903706
33758,BA,BOA VISTA DO TUPIM,0,2903805
33774,BA,BOM JESUS DA LAPA,0,2903904
33782,BA,BOM JESUS DA SERRA,0,2903953
33790,BA,BONINAL,0,2904001
33804,BA,BONITO,0,2904050
33812,BA,BOQUIRA,0,2904100
33839,BA,BOTUPORÃ,0,2904209
33871,BA,BREJOLÂNDIA,0,2904407
33855,BA,BREJÕES,0,2904308
33898,BA,BROTAS DE MACAÚBAS,0,2904506
33910,BA,BRUMADO,0,2904605
33936,BA,BUERAREMA,0,2904704
30791,BA,BURITIRAMA,0,2904753
33952,BA,CAATIBA,0,2904803
33960,BA,CABACEIRAS DO PARAGUAÇU,0,2904852
33979,BA,CACHOEIRA,0,2904902
33995,BA,CACULÉ,0,2905008
34010,BA,CAEM,0,2905107
34029,BA,CAETANOS,0,2905156
34037,BA,CAETITÉ,0,2905206
34053,BA,CAFARNAUM,0,2905305
34070,BA,CAIRU,0,2905404
34096,BA,CALDEIRÃO GRANDE,0,2905503
34118,BA,CAMACAN,0,2905602
34150,BA,CAMAMU,0,2905800
34134,BA,CAMAÇARI,0,2905701
34177,BA,CAMPO ALEGRE DE LOURDES,0,2905909
34193,BA,CAMPO FORMOSO,0,2906006
34231,BA,CANARANA,0,2906204
34258,BA,CANAVIEIRAS,0,2906303
34274,BA,CANDEAL,0,2906402
34290,BA,CANDEIAS,0,2906501
34312,BA,CANDIBA,0,2906600
34355,BA,CANSANÇÃO,0,2906808
30856,BA,CANUDOS,0,2906824
34215,BA,CANÁPOLIS,0,2906105
30813,BA,CAPELA DO ALTO ALEGRE,0,2906857
30830,BA,CAPIM GROSSO,0,2906873
34371,BA,CARAVELAS,0,2906907
34363,BA,CARAÍBAS,0,2906899
34398,BA,CARDEAL DA SILVA,0,2907004
34410,BA,CARINHANHA,0,2907103
34436,BA,CASA NOVA,0,2907202
34452,BA,CASTRO ALVES,0,2907301
34479,BA,CATOLÂNDIA,0,2907400
34495,BA,CATU,0,2907509
34509,BA,CATURAMA,0,2907558
34517,BA,CENTRAL,0,2907608
34533,BA,CHORROCHÓ,0,2907707
34576,BA,CIPÓ,0,2907905
34592,BA,COARACI,0,2908002
34614,BA,COCOS,0,2908101
34630,BA,CONCEIÇÃO DA FEIRA,0,2908200
34657,BA,CONCEIÇÃO DO ALMEIDA,0,2908309
34673,BA,CONCEIÇÃO DO COITÉ,0,2908408
34690,BA,CONCEIÇÃO DO JACUÍPE,0,2908507
34711,BA,CONDE,0,2908606
34738,BA,CONDEÚBA,0,2908705
34754,BA,CONTENDAS DO SINCORÁ,0,2908804
34770,BA,CORAÇÃO DE MARIA,0,2908903
34797,BA,CORDEIROS,0,2909000
34819,BA,CORIBE,0,2909109
34835,BA,CORONEL JOÃO SÁ,0,2909208
34851,BA,CORRENTINA,0,2909307
34878,BA,COTEGIPE,0,2909406
34894,BA,CRAVOLÂNDIA,0,2909505
34932,BA,CRISTÓPOLIS,0,2909703
34916,BA,CRISÓPOLIS,0,2909604
34959,BA,CRUZ DAS ALMAS,0,2909802
34975,BA,CURAÇÁ,0,2909901
34339,BA,CÂNDIDO SALES,0,2906709
34550,BA,CÍCERO DANTAS,0,2907806
30872,BA,DIAS D'ÁVILA,0,2910057
35017,BA,DOM BASÍLIO,0,2910107
35033,BA,DOM MACEDO COSTA,0,2910206
34991,BA,DÁRIO MEIRA,0,2910008
35050,BA,ELÍSIO MEDRADO,0,2910305
35076,BA,ENCRUZILHADA,0,2910404
35092,BA,ENTRE RIOS,0,2910503
35114,BA,ESPLANADA,0,2910602
35130,BA,EUCLIDES DA CUNHA,0,2910701
30058,BA,EUNÁPOLIS,0,2910727
35149,BA,FEIRA DA MATA,0,2910776
35157,BA,FEIRA DE SANTANA,0,2910800
30910,BA,FILADÉLFIA,0,2910859
35173,BA,FIRMINO ALVES,0,2910909
35190,BA,FLORESTA AZUL,0,2911006
35211,BA,FORMOSA DO RIO PRETO,0,2911105
30899,BA,FÁTIMA,0,2910750
35238,BA,GANDU,0,2911204
30937,BA,GAVIÃO,0,2911253
35254,BA,GENTIO DO OURO,0,2911303
35270,BA,GLÓRIA,0,2911402
35297,BA,GONGOGI,0,2911501
35319,BA,GOVERNADOR MANGABEIRA,0,2911600
30953,BA,GUAJERU,0,2911659
35335,BA,GUANAMBI,0,2911709
35351,BA,GUARATINGA,0,2911808
30970,BA,HELIÓPOLIS,0,2911857
35378,BA,IAÇU,0,2911907
35394,BA,IBIASSUCÊ,0,2912004
35416,BA,IBICARAÍ,0,2912103
35432,BA,IBICOARA,0,2912202
35459,BA,IBICUÍ,0,2912301
35475,BA,IBIPEBA,0,2912400
35513,BA,IBIPITANGA,0,2912509
35530,BA,IBIQUERA,0,2912608
35556,BA,IBIRAPITANGA,0,2912707
35572,BA,IBIRAPUÃ,0,2912806
35599,BA,IBIRATAIA,0,2912905
35610,BA,IBITIARA,0,2913002
35637,BA,IBITITÁ,0,2913101
35653,BA,IBOTIRAMA,0,2913200
35670,BA,ICHU,0,2913309
35696,BA,IGAPORÃ,0,2913408
35700,BA,IGRAPIÚNA,0,2913457
35718,BA,IGUAÍ,0,2913507
35734,BA,ILHÉUS,0,2913606
35750,BA,INHAMBUPE,0,2913705
35777,BA,IPECAETÁ,0,2913804
35793,BA,IPIAÚ,0,2913903
35815,BA,IPIRÁ,0,2914000
35831,BA,IPUPIARA,0,2914109
35858,BA,IRAJUBA,0,2914208
35874,BA,IRAMAIA,0,2914307
35890,BA,IRAQUARA,0,2914406
35912,BA,IRARÁ,0,2914505
35939,BA,IRECÊ,0,2914604
35947,BA,ITABELA,0,2914653
35955,BA,ITABERABA,0,2914703
35971,BA,ITABUNA,0,2914802
35998,BA,ITACARÉ,0,2914901
36013,BA,ITAETÉ,0,2915007
36030,BA,ITAGI,0,2915106
36056,BA,ITAGIBÁ,0,2915205
36072,BA,ITAGIMIRIM,0,2915304
36080,BA,ITAGUAÇU DA BAHIA,0,2915353
36099,BA,ITAJU DO COLÔNIA,0,2915403
36110,BA,ITAJUÍPE,0,2915502
36137,BA,ITAMARAJU,0,2915601
36153,BA,ITAMARI,0,2915700
36170,BA,ITAMBÉ,0,2915809
36196,BA,ITANAGRA,0,2915908
36218,BA,ITANHÉM,0,2916005
36234,BA,ITAPARICA,0,2916104
36277,BA,ITAPEBI,0,2916302
36293,BA,ITAPETINGA,0,2916401
36315,BA,ITAPICURU,0,2916500
36331,BA,ITAPITANGA,0,2916609
36250,BA,ITAPÉ,0,2916203
36358,BA,ITAQUARA,0,2916708
36374,BA,ITARANTIM,0,2916807
36382,BA,ITATIM,0,2916856
36390,BA,ITIRUÇU,0,2916906
36412,BA,ITIÚBA,0,2917003
36439,BA,ITORORÓ,0,2917102
36455,BA,ITUAÇU,0,2917201
36471,BA,ITUBERÁ,0,2917300
30660,BA,IUIU,0,2917334
30678,BA,JABORANDI,0,2917359
36498,BA,JACARACI,0,2917409
36510,BA,JACOBINA,0,2917508
36536,BA,JAGUAQUARA,0,2917607
36552,BA,JAGUARARI,0,2917706
36579,BA,JAGUARIPE,0,2917805
36595,BA,JANDAÍRA,0,2917904
36617,BA,JEQUIÉ,0,2918001
36633,BA,JEREMOABO,0,2918100
36650,BA,JIQUIRIÇÁ,0,2918209
36676,BA,JITAÚNA,0,2918308
30996,BA,JOÃO DOURADO,0,2918357
36692,BA,JUAZEIRO,0,2918407
36706,BA,JUCURUÇU,0,2918456
36714,BA,JUSSARA,0,2918506
30694,BA,JUSSARI,0,2918555
36730,BA,JUSSIAPE,0,2918605
36757,BA,LAFAIETE COUTINHO,0,2918704
36765,BA,LAGOA REAL,0,2918803
36773,BA,LAJE,0,2918902
36811,BA,LAJEDINHO,0,2919058
36820,BA,LAJEDO DO TABOCAL,0,2918753
36790,BA,LAJEDÃO,0,2919009
36838,BA,LAMARÃO,0,2919108
39730,BA,LAPÃO,0,2919157
36854,BA,LAURO DE FREITAS,0,2919207
36870,BA,LENÇÓIS,0,2919306
36897,BA,LICÍNIO DE ALMEIDA,0,2919405
36919,BA,LIVRAMENTO DE NOSSA SENHORA,0,2919504
30007,BA,LUÍS EDUARDO MAGALHÃES,0,2919553
36935,BA,MACAJUBA,0,2919603
36951,BA,MACARANI,0,2919702
36978,BA,MACAÚBAS,0,2919801
36994,BA,MACURURÉ,0,2919900
39748,BA,MADRE DE DEUS,0,2919926
39756,BA,MAETINGA,0,2919959
37010,BA,MAIQUINIQUE,0,2920007
37036,BA,MAIRI,0,2920106
37052,BA,MALHADA,0,2920205
37079,BA,MALHADA DE PEDRAS,0,2920304
37095,BA,MANOEL VITORINO,0,2920403
39772,BA,MANSIDÃO,0,2920452
37117,BA,MARACÁS,0,2920502
37133,BA,MARAGOGIPE,0,2920601
37150,BA,MARAÚ,0,2920700
37176,BA,MARCIONÍLIO SOUZA,0,2920809
37192,BA,MASCOTE,0,2920908
37214,BA,MATA DE SÃO JOÃO,0,2921005
37222,BA,MATINA,0,2921054
37230,BA,MEDEIROS NETO,0,2921104
37257,BA,MIGUEL CALMON,0,2921203
37273,BA,MILAGRES,0,2921302
37290,BA,MIRANGABA,0,2921401
37303,BA,MIRANTE,0,2921450
37311,BA,MONTE SANTO,0,2921500
37338,BA,MORPARÁ,0,2921609
37354,BA,MORRO DO CHAPÉU,0,2921708
37370,BA,MORTUGABA,0,2921807
37397,BA,MUCUGÊ,0,2921906
37419,BA,MUCURI,0,2922003
37427,BA,MULUNGU DO MORRO,0,2922052
37435,BA,MUNDO NOVO,0,2922102
37451,BA,MUNIZ FERREIRA,0,2922201
37460,BA,MUQUÉM DO SÃO FRANCISCO,0,2922250
37478,BA,MURITIBA,0,2922300
37494,BA,MUTUÍPE,0,2922409
37516,BA,NAZARÉ,0,2922508
37532,BA,NILO PEÇANHA,0,2922607
39799,BA,NORDESTINA,0,2922656
37559,BA,NOVA CANAÃ,0,2922706
37567,BA,NOVA FÁTIMA,0,2922730
39969,BA,NOVA IBIÁ,0,2922755
37575,BA,NOVA ITARANA,0,2922805
37583,BA,NOVA REDENÇÃO,0,2922854
37591,BA,NOVA SOURE,0,2922904
37613,BA,NOVA VIÇOSA,0,2923001
39942,BA,NOVO HORIZONTE,0,2923035
37621,BA,NOVO TRIUNFO,0,2923050
37630,BA,OLINDINA,0,2923100
37656,BA,OLIVEIRA DOS BREJINHOS,0,2923209
37672,BA,OURIÇANGAS,0,2923308
37680,BA,OUROLÂNDIA,0,2923357
37699,BA,PALMAS DE MONTE ALTO,0,2923407
37710,BA,PALMEIRAS,0,2923506
37737,BA,PARAMIRIM,0,2923605
37753,BA,PARATINGA,0,2923704
37770,BA,PARIPIRANGA,0,2923803
37796,BA,PAU BRASIL,0,2923902
37818,BA,PAULO AFONSO,0,2924009
37850,BA,PEDRO ALEXANDRE,0,2924207
37834,BA,PEDRÃO,0,2924108
37877,BA,PIATÃ,0,2924306
37893,BA,PILÃO ARCADO,0,2924405
37915,BA,PINDAÍ,0,2924504
37931,BA,PINDOBAÇU,0,2924603
39837,BA,PINTADAS,0,2924652
37940,BA,PIRAÍ DO NORTE,0,2924678
37958,BA,PIRIPÁ,0,2924702
37974,BA,PIRITIBA,0,2924801
37990,BA,PLANALTINO,0,2924900
38016,BA,PLANALTO,0,2925006
38059,BA,POJUCA,0,2925204
38067,BA,PONTO NOVO,0,2925253
38075,BA,PORTO SEGURO,0,2925303
38091,BA,POTIRAGUÁ,0,2925402
38032,BA,POÇÕES,0,2925105
38113,BA,PRADO,0,2925501
38130,BA,PRESIDENTE DUTRA,0,2925600
38156,BA,PRESIDENTE JÂNIO QUADROS,0,2925709
38164,BA,PRESIDENTE TANCREDO NEVES,0,2925758
39810,BA,PÉ DE SERRA,0,2924058
38172,BA,QUEIMADAS,0,2925808
38199,BA,QUINJINGUE,0,2925907
39845,BA,QUIXABEIRA,0,2925931
39853,BA,RAFAEL JAMBEIRO,0,2925956
38210,BA,REMANSO,0,2926004
38237,BA,RETIROLÂNDIA,0,2926103
38296,BA,RIACHO DE SANTANA,0,2926400
38253,BA,RIACHÃO DAS NEVES,0,2926202
38270,BA,RIACHÃO DO JACUÍPE,0,2926301
38318,BA,RIBEIRA DO AMPARO,0,2926509
38334,BA,RIBEIRA DO POMBAL,0,2926608
38342,BA,RIBEIRÃO DO LARGO,0,2926657
38350,BA,RIO DE CONTAS,0,2926707
38377,BA,RIO DO ANTÔNIO,0,2926806
38393,BA,RIO DO PIRES,0,2926905
38415,BA,RIO REAL,0,2927002
38431,BA,RODELAS,0,2927101
38458,BA,RUY BARBOSA,0,2927200
38474,BA,SALINAS DA MARGARIDA,0,2927309
38490,BA,SALVADOR,1,2927408
38539,BA,SANTA BRÍGIDA,0,2927606
38512,BA,SANTA BÁRBARA,0,2927507
38555,BA,SANTA CRUZ CABRÁLIA,0,2927705
38571,BA,SANTA CRUZ DA VITÓRIA,0,2927804
38598,BA,SANTA INÊS,0,2927903
39870,BA,SANTA LUZIA,0,2928059
38636,BA,SANTA MARIA DA VITÓRIA,0,2928109
35491,BA,SANTA RITA DE CÁSSIA,0,2928406
38695,BA,SANTA TEREZINHA,0,2928505
38610,BA,SANTALUZ,0,2928000
38652,BA,SANTANA,0,2928208
38679,BA,SANTANÓPOLIS,0,2928307
38717,BA,SANTO AMARO,0,2928604
38733,BA,SANTO ANTÔNIO DE JESUS,0,2928703
38750,BA,SANTO ESTEVÃO,0,2928802
38911,BA,SAPEAÇU,0,2929602
38946,BA,SAUBARA,0,2929750
38954,BA,SAÚDE,0,2929800
38970,BA,SEABRA,0,2929909
38997,BA,SEBASTIÃO LARANJEIRAS,0,2930006
39012,BA,SENHOR DO BONFIM,0,2930105
39039,BA,SENTO SÉ,0,2930204
39047,BA,SERRA DO RAMALHO,0,2930154
39055,BA,SERRA DOURADA,0,2930303
39071,BA,SERRA PRETA,0,2930402
39098,BA,SERRINHA,0,2930501
39110,BA,SERROLÂNDIA,0,2930600
39136,BA,SIMÕES FILHO,0,2930709
39985,BA,SOBRADINHO,0,2930774
39152,BA,SOUTO SOARES,0,2930808
38938,BA,SÁTIRO DIAS,0,2929701
38776,BA,SÃO DESIDÉRIO,0,2928901
38806,BA,SÃO DOMINGOS,0,2928950
38814,BA,SÃO FELIPE,0,2929107
38830,BA,SÃO FRANCISCO DO CONDE,0,2929206
38792,BA,SÃO FÉLIX,0,2929008
38822,BA,SÃO FÉLIX DO CORIBE,0,2929057
39896,BA,SÃO GABRIEL,0,2929255
38857,BA,SÃO GONÇALO DOS CAMPOS,0,2929305
39926,BA,SÃO JOSÉ DA VITÓRIA,0,2929354
38865,BA,SÃO JOSÉ DO JACUÍPE,0,2929370
38873,BA,SÃO MIGUEL DAS MATAS,0,2929404
38890,BA,SÃO SEBASTIÃO DO PASSÉ,0,2929503
39144,BA,SÍTIO DO MATO,0,2930758
39900,BA,SÍTIO DO QUINTO,0,2930766
39179,BA,TABOCAS DO BREJO VELHO,0,2930907
39195,BA,TANHAÇU,0,2931004
39918,BA,TANQUE NOVO,0,2931053
39217,BA,TANQUINHO,0,2931103
39233,BA,TAPEROÁ,0,2931202
39250,BA,TAPIRAMUTÁ,0,2931301
39934,BA,TEIXEIRA DE FREITAS,0,2931350
39276,BA,TEODORO SAMPAIO,0,2931400
39292,BA,TEOFILÂNDIA,0,2931509
39314,BA,TEOLÂNDIA,0,2931608
39330,BA,TERRA NOVA,0,2931707
39357,BA,TREMEDAL,0,2931806
39373,BA,TUCANO,0,2931905
39390,BA,UAUÁ,0,2932002
39438,BA,UBAITABA,0,2932200
39454,BA,UBATÃ,0,2932309
39411,BA,UBAÍRA,0,2932101
39470,BA,UIBAÍ,0,2932408
39489,BA,UMBURANAS,0,2932457
39497,BA,UNA,0,2932507
39519,BA,URANDI,0,2932606
39535,BA,URUÇUCA,0,2932705
39551,BA,UTINGA,0,2932804
39594,BA,VALENTE,0,2933000
39578,BA,VALENÇA,0,2932903
39624,BA,VARZEDO,0,2933174
39632,BA,VERA CRUZ,0,2933208
39640,BA,VEREDA,0,2933257
39659,BA,VITÓRIA DA CONQUISTA,0,2933307
39977,BA,VÁRZEA DA ROÇA,0,2933059
39616,BA,VÁRZEA DO POÇO,0,2933109
39950,BA,VÁRZEA NOVA,0,2933158
39675,BA,WAGNER,0,2933406
39993,BA,WANDERLEY,0,2933455
39691,BA,WENCESLAU GUIMARÃES,0,2933505
39713,BA,XIQUE-XIQUE,0,2933604
33073,BA,ÁGUA FRIA,0,2900405
33090,BA,ÉRICO CARDOSO,0,2900504
13013,CE,ABAIARA,0,2300101
13145,CE,ACARAPE,0,2300150
13030,CE,ACARAÚ,0,2300200
13056,CE,ACOPIARA,0,2300309
13072,CE,AIUABA,0,2300408
13099,CE,ALCÂNTARAS,0,2300507
13110,CE,ALTANEIRA,0,2300606
